Frame N BAPnP_Time EPnP_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R SQPnP_R CPnP_R BAPnP_t EPnP_t SQPnP_t CPnP_t
112 776 0.18043 2.33395 0.119 0.446242 0.824843 0.825021 0.981014 0.996734 0.0267109 0.0267148 0.0363479 0.0503047
113 669 0.180929 1.38112 0.132408 0.394733 35.6723 3.52619 2.05859 3.28628 0.755756 0.0648211 0.0677936 0.0733714
114 523 0.121315 1.25 0.156049 0.311601 2.97567 2.97589 3.88079 15.1808 0.0564117 0.0564182 0.0802615 1.91674
115 439 0.120306 1.07378 0.090306 0.270136 2.34384 2.34967 3.32682 2.68478 0.0383176 0.0385594 0.0327012 0.0165398
116 260 0.075571 1.07245 0.143781 0.146805 61.4052 9.85477 14.9239 nan 0.818257 0.159571 0.249345 -nan
117 738 0.187504 2.44189 0.119695 0.497362 1.07157 1.07162 1.95896 2.99459 0.0355793 0.0355691 0.0597535 0.139486
118 531 0.146437 1.26183 0.149922 0.323664 0.224456 0.164381 1.89618 13.876 0.0328556 0.0348967 0.062252 1.57611
119 207 0.060609 0.687218 0.144208 0.119556 10.2904 10.3006 10.4273 9.31285 0.240046 0.240185 0.267391 0.204074
120 526 0.142265 1.26221 0.208082 0.325614 3.16871 3.17008 4.69211 nan 0.0308209 0.0308243 0.14422 -nan
121 324 0.145754 0.79952 0.097907 0.164443 2.14654 2.14664 2.11898 2.05141 0.0685057 0.0685056 0.0498052 0.094625
122 692 0.158078 1.95843 0.095073 0.394729 1.47387 1.4737 0.701124 1.51951 0.022501 0.0225002 0.0225058 0.0216965
123 779 0.178776 2.86936 0.143933 0.483556 0.644547 0.644161 0.873749 1.34484 0.00715561 0.0071552 0.0390915 0.0362821
124 907 0.263298 2.90211 0.162876 0.524594 1.69982 1.69961 2.18415 1.68696 0.04816 0.0481537 0.0565135 0.0478384
125 613 0.166104 1.60673 0.154276 0.360711 3.44481 3.44648 5.00563 nan 0.0731713 0.0731936 0.108222 -nan
126 640 0.147762 1.48688 0.092574 0.368988 2.13257 2.13258 1.453 2.18703 0.0348136 0.0348154 0.01567 0.0336645
127 934 0.211948 2.91796 0.125616 0.645541 0.73805 0.738195 0.933615 0.73793 0.0226487 0.0226419 0.0352538 0.0224131
128 629 0.150934 1.4436 0.094695 0.388746 1.19476 1.19489 0.523701 1.22865 0.0263016 0.0262975 0.0184176 0.0214556
129 672 0.154578 1.57626 0.093574 0.381826 1.97148 1.97087 1.83393 6.48629 0.0263415 0.0263257 0.0211932 0.230502
130 861 0.162474 2.13907 0.107438 0.478302 0.863953 0.863713 0.937121 0.865252 0.0147207 0.0147132 0.02054 0.0147336
131 1078 0.203048 3.08085 0.128156 0.778222 0.825554 0.825398 0.799676 0.825221 0.022571 0.0225676 0.021657 0.0225397
132 977 0.189905 3.09506 0.128384 0.952815 0.799699 0.799631 0.748733 0.795481 0.0248054 0.0248038 0.0236143 0.0246697
133 997 0.192106 2.48363 0.122881 0.555901 0.992558 0.992203 0.654633 1.00357 0.0214938 0.021486 0.0163896 0.0215817
134 712 0.190282 1.75748 0.23384 0.740285 2.20066 2.2014 3.34446 2.01235 0.0415887 0.041605 0.0780935 0.0396822
135 724 0.174106 1.95429 0.103632 0.449543 2.80446 2.80454 2.76218 2.58641 0.0499671 0.0499686 0.0509364 0.0479281
136 853 0.227042 2.67437 0.151187 0.619089 1.36347 1.36468 2.37777 40.3137 0.0332938 0.0332982 0.04634 3.04919
137 866 0.167754 2.17525 0.107816 0.587212 1.14589 1.14579 1.2249 1.13667 0.0213278 0.0213273 0.0234363 0.0209112
138 758 0.203949 2.1947 0.131756 0.601986 2.4376 2.43823 3.44422 2.20705 0.0515652 0.0515803 0.0848246 0.0404211
139 756 0.180374 1.67354 0.104279 0.460078 0.981326 0.980296 2.29219 1.01499 0.0355635 0.0355496 0.0623727 0.0370345
140 974 0.219931 2.91984 0.121784 0.600112 0.2968 0.29734 0.579906 0.306188 0.022173 0.0221715 0.0361592 0.0223067
141 939 0.211512 2.30267 0.177093 0.537184 0.292119 0.292013 0.371518 0.290648 0.0259599 0.0259589 0.0261598 0.0256876
142 931 0.175521 3.36606 0.146793 0.745998 1.47047 1.47052 1.56797 1.46205 0.0288832 0.0288802 0.0317704 0.0287793
143 955 0.263683 3.26636 0.151299 0.824719 1.0638 1.06358 1.27198 1.05008 0.031986 0.0319815 0.0313562 0.0317224
144 897 0.282453 3.11844 0.234782 1.05749 0.621984 0.622272 1.51345 0.585864 0.0407427 0.0407462 0.0464958 0.0388046
145 879 0.223103 2.80275 0.114187 0.625263 0.324453 0.324231 0.448373 0.319769 0.0300247 0.0300206 0.0318165 0.0297723
146 705 0.165771 1.51782 0.096396 0.427333 0.507537 0.507664 1.2834 0.501768 0.0381649 0.038162 0.0336399 0.0380327
147 869 0.197878 2.28974 0.114232 0.494509 1.55591 1.55602 0.468131 1.60237 0.0424486 0.0424482 0.0328196 0.041606
148 800 0.183545 1.91889 0.106839 0.484047 0.710987 0.711543 0.620889 0.781064 0.0349062 0.0349263 0.0137932 0.0339336
149 833 0.160852 1.95301 0.110013 0.49423 0.606264 0.606062 1.42218 0.614852 0.0252483 0.0252529 0.0408249 0.0241888
150 523 0.121837 1.29331 0.084665 0.326035 1.96435 1.96438 2.48412 1.96003 0.0259012 0.0259031 0.0303165 0.0258823
151 449 0.109964 1.29297 0.085419 0.352446 3.335 3.33512 4.52084 3.32502 0.0655858 0.0655847 0.105373 0.0645282
152 751 0.195809 1.8376 0.105632 0.473334 0.994767 0.995042 1.17354 0.967317 0.0131753 0.0131834 0.00961107 0.0123209
153 367 0.104666 1.04202 0.123876 0.238029 3.10759 3.10958 5.1618 45.341 0.0479641 0.0479865 0.162215 4.42654
